"","ResponseId","PROLIFIC_PID","Q_RecaptchaScore","Duration (in seconds)","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","attn","q13","q14","q15","q16","q17","q18","q19","q20","q21","q22","q23","q24","q25","q26","q27","q28","q29","q30","q31","q32","q33","q34","q35","q36","q37","q38","q39","q40","q41","q42","q43","q44","q45","age","gid1","gid1_4_TEXT","gid2","race-eth-id_1","race-eth-id_2","race-eth-id_3","race-eth-id_4","race-eth-id_5","race-eth-id_6","race-eth-id_7","race-eth-id_8","race-eth-choice","ed","sud_hx"
"11","R_1iaOiD7pvfcTjhY","5b56686fc09af90001f187a5",0.899999976158142,213,5,5,5,5,11,5,4,4,5,11,7,11,1,5,11,8,9,9,10,9,10,10,11,11,9,9,10,11,11,10,11,11,11,8,9,9,7,10,7,7,9,10,10,11,10,11,27,"Woman",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,"white af","High School","Yes"
"12","R_1P1wbwWxkirbwvG","65298aca34ac384b783169d4",0.899999976158142,581,3,5,2,1,7,4,3,2,5,7,8,8,1,5,11,9,10,11,7,10,9,11,11,9,8,8,11,10,9,11,10,9,9,9,9,8,10,10,10,8,10,9,8,11,7,8,27,"Man",NA,"Yes",NA,NA,"Black or African American","Latine or Hispanic",NA,NA,NA,NA,"other","High School","No"
"13","R_W29jEnNXSRI6ptD","64135777abac1cc9ff8e1901",0.899999976158142,358,5,5,5,5,11,5,5,4,5,11,9,11,1,4,11,10,9,10,10,10,10,10,10,11,11,9,10,9,9,11,11,11,11,8,9,10,10,9,9,8,10,8,10,10,8,10,30,"Man",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,"White male","High School","No"
"14","R_XXu4FsieE4r6Tnj","65302d50f1ad0315b2a8171e",1,483,5,5,5,4,11,5,5,4,5,11,7,10,1,3,10,10,11,10,10,9,11,11,8,10,11,9,11,11,11,8,9,10,11,8,8,7,10,11,8,7,8,7,8,10,9,10,40,"Man",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Associate’s Degree","No"
"15","R_2pLESNKBCxCUBwh","64d7275238e36aebb5dc6680",0.899999976158142,317,5,5,4,4,11,4,5,3,5,11,8,10,1,3,9,9,9,10,9,8,11,9,10,11,10,10,11,10,10,11,10,10,11,9,9,9,8,11,8,9,9,8,10,11,10,10,51,"Woman",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Master’s Degree","No"
"16","R_6xLLMZR7GUJYeCB","62b36713e7f1222fd112f23e",0.899999976158142,452,3,5,4,4,11,5,1,1,5,9,10,11,1,5,9,7,8,10,7,9,11,10,10,9,8,7,10,11,11,10,8,9,10,10,7,8,11,10,8,9,9,8,10,11,8,11,63,"Man",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Bachelor’s Degree","No"
"17","R_3nvg4rL3gSKuQZa","56253d70ed6e5a0011c81a42",0.899999976158142,282,5,5,5,5,11,5,5,5,5,9,8,10,1,4,11,9,10,9,11,11,11,10,11,11,11,10,11,11,11,9,10,11,10,8,9,10,7,11,10,9,9,9,10,10,9,11,55,"Woman",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Master’s Degree","No"
"18","R_2AZH9UU9vFlCvP8","63e96e05231079b3bcec58a7",0.899999976158142,393,5,5,5,3,11,5,5,5,5,11,8,10,1,5,11,10,11,9,11,11,11,10,11,11,10,10,11,11,11,11,10,10,11,9,8,8,10,11,9,10,10,8,9,11,10,10,28,"Woman",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Associate’s Degree","No"
"19","R_vIydIkC4aZdjvot","5eebe4e6e61002183aec9b70",1,326,5,NA,5,5,10,5,5,5,5,11,8,11,1,5,11,10,11,11,11,11,10,11,11,11,10,10,11,11,11,11,10,10,10,9,7,7,10,10,9,8,8,7,8,11,11,10,26,"Man",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,NA,"High School","No"
"20","R_2QMXCe3tP6nQss2","60ce63699ecc87f9ffc3945e",0.800000011920929,204,5,5,5,5,11,5,5,5,5,11,7,11,1,5,11,11,11,11,11,11,9,11,11,11,11,11,11,11,11,11,11,11,11,10,7,7,10,11,11,7,7,7,8,11,11,11,33,"Non-binary",NA,"No",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Bachelor’s Degree","No"
"21","R_2cpdpLj9aYMT210","5f83aa68ed5575548c117363",0.899999976158142,498,4,5,3,3,9,2,4,4,4,10,9,10,1,3,10,9,10,11,10,11,10,11,11,11,9,9,10,11,10,11,9,9,9,10,8,7,11,9,9,9,10,8,8,11,10,9,24,"Man",NA,"Yes",NA,NA,NA,"Latine or Hispanic",NA,"White",NA,NA,"White","High School","No"
"22","R_1K2U7OJKDhZKGHl","64388d39ca379d138d1ef4ad",0.899999976158142,152,4,3,4,2,9,4,3,4,3,9,9,9,0,4,9,10,9,10,8,9,8,8,10,9,9,9,9,10,9,10,9,9,9,10,9,8,9,9,10,9,9,8,9,10,10,8,51,"Man",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Bachelor’s Degree","No"
"23","R_1Ouz0c3O4yIZ5Au","64414b3881470cb4c86f32d7",0.899999976158142,177,1,3,1,2,7,3,1,1,3,9,10,8,1,1,7,7,7,7,7,10,11,9,7,9,7,7,8,7,8,10,7,9,8,8,10,11,7,10,7,11,8,11,11,7,7,8,22,"Man",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,"White Aryan","Bachelor’s Degree","I don’t know"
"24","R_1prMZ9eJxvC3u1f","5de418b0b7713041368169b3",0.899999976158142,219,3,5,5,5,11,3,3,3,4,10,9,10,1,4,10,8,7,9,9,9,10,10,9,10,9,10,11,9,11,11,9,8,11,9,7,7,9,9,9,8,8,8,8,11,9,10,28,"Prefer not to say",NA,"Prefer not to say",NA,NA,NA,NA,NA,NA,NA,"Prefer not to say",NA,"Prefer not to say","I don’t know"
"25","R_3J4307nokM3TSwM","61281debe85082cc937dd9ae",1,191,5,5,4,5,11,5,4,2,5,10,8,9,1,2,11,9,7,10,8,10,11,10,10,10,11,11,9,10,9,11,10,11,10,7,7,7,10,10,9,10,10,7,8,11,11,8,32,"Woman",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Master’s Degree","No"
"26","R_2txOlC0CMgJSPcO","643bf6338ab6927af28b0b88",0.800000011920929,183,3,2,3,2,9,3,3,3,3,10,9,9,1,3,9,8,8,9,9,9,9,10,10,10,9,8,8,10,9,10,8,9,9,9,9,9,10,10,8,9,9,8,10,10,9,8,30,"Man",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,"American","High School","No"
"27","R_33EFSI80Wgd4nKI","5ec5b41217e1c9627364f27f",0.899999976158142,158,3,4,4,4,10,4,2,2,4,10,10,9,1,2,9,9,8,10,8,8,11,9,10,10,9,9,9,9,10,8,8,9,10,8,9,8,8,8,8,9,10,9,10,10,8,10,36,"Woman",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,"White","High School","Yes"
"28","R_3Hz50UVxuDMOkac","5fd8fa9fe3104a126ead94ae",1,218,4,5,5,5,11,4,4,3,5,10,9,10,1,3,10,10,9,9,9,9,11,9,10,11,10,10,11,10,10,10,9,10,10,10,9,8,9,10,10,8,10,7,9,10,9,9,55,"Woman",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Master’s Degree","No"
"29","R_2OT7y3UFsvPlA6A","5e6bdd2a3ea572199bb7f6b6",NA,459,5,5,5,5,11,5,4,3,4,11,8,11,1,5,11,9,10,9,10,9,9,10,10,11,9,9,10,10,11,11,11,11,11,9,9,7,7,11,9,9,9,9,11,11,8,11,62,"Woman",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,"????  Basic white western European background","Bachelor’s Degree","No"
"30","R_3PoGyu3GGmNwqHO","61008e2b1e7e82941bfc341e",0.899999976158142,497,4,5,5,5,10,5,4,4,5,10,10,11,1,2,9,8,9,9,7,10,11,10,10,10,8,10,9,NA,11,10,10,10,10,8,10,8,7,10,7,8,10,8,10,10,10,10,28,"Woman",NA,"Yes","Asian or Asian American",NA,NA,NA,NA,NA,NA,NA,"Filipino","Bachelor’s Degree","No"
"31","R_1FfEk3DM0wytN6P","61008ab408e5d1853e899385",1,168,4,5,4,4,9,4,4,4,5,10,8,10,1,4,10,10,8,10,11,10,10,10,10,10,10,10,11,11,10,11,8,8,9,9,8,8,10,10,9,8,10,8,9,11,10,10,21,"Woman",NA,"Yes","Asian or Asian American",NA,NA,NA,NA,"White",NA,NA,NA,"High School","No"
"32","R_1BQIrD0xCl1M9FJ","5b3e322998a45e0001edd87a",0.899999976158142,408,2,4,4,4,11,4,2,2,4,10,10,10,1,2,8,8,8,8,8,8,10,8,10,10,10,10,10,10,10,10,10,10,10,8,10,10,8,10,8,10,10,8,11,10,10,10,56,"Woman",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Bachelor’s Degree","No"
"33","R_001vEZn5U50HBPb","5d62b2186f363200168bbb85",0.899999976158142,320,5,5,5,5,11,5,5,5,5,11,7,11,1,5,11,11,11,11,10,9,11,10,11,11,11,11,11,11,10,11,10,11,11,8,7,7,10,11,9,7,9,7,9,11,9,11,NA,"Woman",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,NA,"High School","No"
"34","R_1hPQQeDMJtpCNUd","5e7072e5fb136c63e94f3fa4",0.899999976158142,163,3,4,5,5,11,5,3,2,5,9,8,11,1,1,9,8,7,8,9,8,11,9,9,10,9,8,9,11,10,10,10,9,11,9,8,9,9,10,8,9,10,8,9,11,8,9,40,"Man",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Bachelor’s Degree","No"
"35","R_1psUwbVG2C2ypZs","5f5c4b9c062e0f43a15ed050",0.899999976158142,321,5,5,5,5,11,5,5,5,5,11,7,11,1,5,11,9,11,11,11,11,11,11,11,11,11,9,11,11,11,11,9,10,11,7,7,7,7,11,9,8,8,9,9,11,9,9,30,"Man",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,"White","Bachelor’s Degree","No"
"36","R_28SSLnmhjLjkmhj","62ce6179fe6f8ec7e399cea0",0.899999976158142,277,4,5,5,5,11,5,3,3,5,11,10,8,1,5,11,10,11,9,8,9,11,9,11,10,9,9,10,11,10,10,11,9,11,9,8,8,8,10,8,8,8,8,10,11,10,10,32,"Man",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Bachelor’s Degree","Yes"
"37","R_3FX6Y66dEOjrjGv","5808f958b648e600016375dd",0.899999976158142,265,5,5,5,5,11,5,5,4,5,11,7,11,1,4,11,9,10,10,11,9,11,10,11,11,11,11,11,11,11,11,11,11,11,8,8,8,9,11,8,8,9,7,10,10,9,11,47,"Man",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,NA,"High School","No"
"38","R_sLH4uP09yEF92tH","63d7e0cbacf1e02164fc2e9a",0.899999976158142,260,5,5,5,5,11,5,5,5,5,11,7,10,1,5,11,11,10,10,11,10,11,10,11,11,11,11,11,11,11,11,11,11,11,9,7,7,11,10,9,7,8,7,11,11,11,9,46,"Woman",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Bachelor’s Degree","No"
"39","R_24l79tn1yUVyXWH","58f7ec594bf83e000199f2e9",0.899999976158142,187,5,5,5,5,11,5,5,5,5,11,7,11,1,5,11,11,11,10,11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,9,7,7,9,11,10,7,8,7,9,10,11,11,27,"Woman",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Master’s Degree","No"
"40","R_2wNQQQf1DDU6BwH","5e3a955052b36c2a788545ff",1,475,5,5,5,5,11,5,5,5,5,11,7,11,1,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,7,9,10,11,9,11,9,7,7,11,11,11,30,"Man",NA,"Yes",NA,NA,NA,"Latine or Hispanic",NA,"White",NA,NA,"Mixed","High School","Yes"
"41","R_vYQU6QT83taDOhj","63ed6748c04e76b9d2cce7cd",0.899999976158142,301,3,5,4,4,9,3,2,1,5,11,8,9,1,3,9,8,10,10,11,9,11,11,10,10,11,10,11,NA,9,11,9,10,11,9,8,8,10,10,8,9,10,7,8,10,10,9,19,"Man",NA,"Yes",NA,NA,NA,"Latine or Hispanic",NA,NA,NA,NA,NA,"High School","No"
"42","R_1QiMdhQ6b7HzcJS","6067bd3bf7a731c3055b5e31",1,171,3,5,2,3,NA,1,3,3,4,9,10,9,1,2,10,8,9,9,8,9,10,8,10,10,9,9,10,10,10,10,9,10,10,8,9,8,8,9,8,10,10,8,10,10,10,8,22,"Woman",NA,"Yes","Asian or Asian American",NA,NA,NA,NA,NA,NA,NA,"Asian","High School","No"
"43","R_1EjtyPcsACpZUM1","615e01e53a44a0c3c04378c0",1,464,5,5,5,5,11,5,5,4,5,11,11,11,1,5,11,9,10,10,10,10,10,10,10,11,11,9,7,11,11,11,10,10,10,9,9,9,7,11,9,8,8,9,9,10,10,10,84,"Woman",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Master’s Degree","No"
"44","R_1Qcm8Aaxqoi6BFE","60764160ea8fb65a451525e0",1,418,5,5,5,5,11,5,5,5,5,11,7,11,1,5,11,11,11,11,11,11,10,11,11,10,11,11,11,11,11,11,11,11,11,11,7,7,11,8,9,7,9,7,8,11,9,11,48,"Woman",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,"non hispanic","Master’s Degree","No"
"45","R_1ePkZneD1s8VPEL","5b09e07d641b1200010eab62",0.899999976158142,217,4,5,4,3,9,5,5,5,5,10,7,10,1,5,10,11,10,9,11,10,10,10,11,11,10,10,11,11,11,11,9,10,11,9,8,8,9,10,9,8,8,8,9,10,9,10,27,"Non-binary",NA,"No",NA,NA,NA,NA,NA,"White",NA,NA,NA,"High School","No"
"46","R_2tM3swLf2XB4Q1f","5ac6e40ff69e940001d99253",0.899999976158142,242,5,5,5,5,11,5,5,5,5,10,8,10,1,5,11,10,10,11,11,11,9,11,10,11,10,10,11,10,10,11,11,11,9,10,8,7,10,10,9,7,7,7,8,11,11,11,25,"Woman",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Bachelor’s Degree","No"
"47","R_1MXo6mhoe0OSrdN","5c3ebb97b3369c0001a94fea",1,277,4,5,5,5,11,3,3,3,5,11,9,11,1,2,10,7,9,9,8,8,10,9,9,9,10,10,8,9,10,11,11,11,8,9,9,8,9,9,9,8,8,8,11,9,9,11,38,"Woman",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,"White","Bachelor’s Degree","No"
"48","R_2uZEVeTZhzoI7QJ","5f35aee96919ed5bb7697734",0.899999976158142,255,5,5,2,2,8,5,5,5,5,10,8,9,1,4,11,8,10,10,11,11,10,10,9,11,9,10,10,10,10,10,9,9,11,9,8,9,10,9,9,10,10,8,9,11,9,10,27,"Woman",NA,"Yes","Asian or Asian American",NA,NA,NA,NA,NA,NA,NA,"Chinese","Bachelor’s Degree","No"
"49","R_3ghveuoxXX6J7TX","5be3237a3193e90001798302",1,240,4,5,5,5,11,1,1,1,5,10,11,11,1,1,7,11,9,7,7,7,11,7,10,10,9,9,9,10,10,11,10,10,11,7,11,11,9,9,7,9,11,10,11,11,9,11,41,"Man",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,"white","Master’s Degree","No"
"50","R_BEOxdCO1zZwseTT","650065e0f3202d7bba91e031",0.899999976158142,338,5,5,5,5,11,4,5,4,5,11,7,11,1,5,11,11,11,11,11,11,9,11,11,10,9,10,11,11,11,11,9,9,9,11,7,7,10,11,9,7,8,7,8,11,10,11,47,"Man",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Associate’s Degree","No"
"51","R_2c0p19pHPVAwv4O","5bb5473f9e00ca0001893a4c",1,271,1,NA,3,1,9,2,1,1,5,10,11,9,1,1,7,7,7,7,7,7,11,7,8,11,7,9,8,7,11,10,7,10,7,7,7,11,7,7,7,11,11,7,11,11,7,9,35,"Man",NA,"Yes",NA,NA,NA,"Latine or Hispanic",NA,NA,NA,NA,NA,"High School","No"
"52","R_a5GpajGV7AdBsM9","584c14f251a9bc0001e16bc4",0.800000011920929,299,3,5,4,4,9,3,3,2,4,9,10,10,1,1,10,11,8,9,7,8,11,11,8,8,10,10,9,10,11,NA,9,10,11,10,11,10,9,10,8,11,8,9,11,10,8,10,35,"Man",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,"White","High School","No"
"53","R_3PRccKENFldJxaP","5c3d504ede04ad0001d8be54",0.899999976158142,302,1,5,5,5,11,5,1,1,5,11,7,10,1,1,7,7,7,7,7,7,11,7,11,11,11,7,9,11,11,11,11,11,11,7,7,11,7,11,7,11,11,9,11,11,7,7,40,"Woman",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Master’s Degree","No"
"54","R_2OIunF6eTknGPM0","632fb5c14197866826e5ca26",1,334,4,5,5,3,8,3,5,2,5,11,7,9,1,2,11,9,9,7,9,10,9,10,11,11,11,10,9,11,11,11,7,10,10,8,10,7,7,10,7,8,10,8,11,11,10,11,43,"Man",NA,"Yes","Asian or Asian American",NA,NA,NA,NA,NA,NA,NA,"chinese","Bachelor’s Degree","No"
"55","R_vfc1DorCepQDio1","5b05e0d131cebe000177c38e",0.800000011920929,326,5,5,5,5,11,5,4,5,5,11,8,9,1,5,11,11,10,11,9,11,11,11,10,11,9,9,11,10,11,11,11,11,11,9,8,7,11,10,9,8,8,9,10,11,11,11,41,"Man",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,"white","High School","Prefer not to say"
"56","R_2yqQPciLwlhD5eo","60df7dd7029cff41ea8eed9b",0.800000011920929,337,1,5,3,3,9,1,1,1,5,8,9,10,1,5,7,8,7,9,7,7,10,7,7,9,7,7,11,7,11,11,7,10,10,7,7,11,7,10,7,11,11,10,11,11,7,8,24,"Man",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,NA,"High School","No"
"57","R_VW6M4HTzjR0qEgN","5fe0005cb0feb88dd338395b",1,314,3,3,3,3,9,3,3,3,3,9,9,9,1,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,25,"Prefer not to say",NA,"Prefer not to say",NA,NA,NA,NA,NA,NA,NA,"Prefer not to say","white","Bachelor’s Degree","I don’t know"
"58","R_1NnnRqRkTWWzVOL","5f7d4a2c5db79d21c7d07240",0.800000011920929,224,4,4,3,3,9,4,4,4,4,10,8,10,1,3,10,10,9,9,9,10,10,10,10,10,10,9,8,10,10,10,9,9,10,8,9,8,8,10,9,8,8,8,10,9,10,10,29,"Woman",NA,"Yes","Asian or Asian American",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No"
"59","R_1IXEjmHXWEfomhS","5ee3fbb98976fc0f59fe2939",0.899999976158142,145,4,5,2,2,9,2,2,2,3,10,10,10,1,3,8,8,8,8,10,8,10,11,9,9,11,9,9,8,10,8,8,9,9,10,8,7,8,10,10,9,8,8,8,10,9,9,23,"Man",NA,"Yes",NA,NA,NA,"Latine or Hispanic",NA,NA,NA,NA,"Hispanic/Latino","Associate’s Degree","No"
"60","R_2QiiT6MIvavbaJG","5d6ef023cfe0a400198f911e",1,500,5,5,3,3,9,4,5,5,5,11,8,10,1,5,11,11,11,11,10,11,10,11,11,11,10,11,11,11,11,11,11,11,10,8,8,8,9,10,10,7,7,7,8,10,9,11,34,"Man",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Bachelor’s Degree","No"
"61","R_BR1AVloS5P0xQZj","5eeab9a5e9f1e01bda67b045",0.899999976158142,169,5,5,5,5,11,5,5,5,5,11,10,11,1,5,11,10,11,11,11,11,10,11,10,11,11,11,11,11,11,11,10,11,11,11,9,8,9,11,9,8,8,7,9,11,11,10,22,"Woman",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Bachelor’s Degree","No"
"62","R_25EdenGjKPQrmeg","63f97ca122e7d06a904cb22f",1,208,5,5,5,5,11,5,5,5,5,11,8,11,1,5,11,11,11,11,11,11,11,10,11,11,7,7,10,11,11,10,9,11,11,8,11,10,9,11,7,9,9,9,10,11,11,11,29,"Woman",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,"white","Bachelor’s Degree","No"
"63","R_12x6xJefPVs6PNf","5f41ecb4513b1f3b44e4319c",1,284,5,5,5,5,11,5,5,4,5,7,7,11,1,5,11,8,11,11,10,11,11,10,10,11,9,9,11,11,11,11,11,11,11,10,10,9,9,10,10,8,10,9,11,10,10,11,24,"Man",NA,"Yes","Asian or Asian American",NA,NA,NA,NA,NA,NA,NA,"Japanese American","Bachelor’s Degree","No"
"64","R_2DZUcoRc5KC9uwJ","5aeb9cdeaa05510001ff624e",0.800000011920929,321,2,4,3,3,9,4,2,2,4,10,9,9,1,3,8,9,7,8,10,8,9,8,11,10,9,9,9,10,7,11,10,10,11,9,8,9,7,9,8,10,8,10,11,10,10,9,61,"Woman",NA,"Yes",NA,NA,NA,"Latine or Hispanic",NA,"White",NA,NA,NA,"Professional Degree (J.D., M.D., etc.)","No"
"65","R_SVPslujWOsYzF4Z","5a8e6117b093f80001a83119",0.899999976158142,212,4,5,5,5,11,5,4,2,5,9,9,9,1,5,9,8,10,9,10,11,11,11,9,10,10,10,9,10,11,10,8,10,9,8,8,8,10,9,8,8,10,8,9,10,10,9,33,"Man",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Master’s Degree","No"
"66","R_3Rl9HhRwnUzHjjZ","5ff40482197628a732bdf46a",0.899999976158142,272,2,5,4,5,11,3,3,2,4,11,9,8,1,2,8,8,7,7,7,8,11,8,9,10,8,8,10,9,11,11,8,8,11,9,9,9,10,8,7,11,11,8,11,11,8,9,25,"Woman",NA,"Yes",NA,NA,"Black or African American",NA,NA,NA,NA,NA,"Afro-Jamaican","Bachelor’s Degree","No"
"67","R_Oqg1in0vy0kFr0t","5d78647e4dadc9001a3e34dd",0.899999976158142,204,4,3,3,3,9,3,4,2,4,10,9,9,1,2,10,9,8,8,10,9,10,9,10,11,10,10,10,10,11,10,10,10,10,7,9,10,7,9,7,10,9,8,11,10,9,10,26,"Woman",NA,"Yes","Asian or Asian American",NA,NA,NA,NA,NA,NA,NA,"south asian","Bachelor’s Degree","No"
"68","R_1Fi4IqTWElaBD8t","61099f0e6ed4b1209619f76c",0.800000011920929,374,5,5,5,5,11,4,4,5,5,11,8,11,1,2,10,10,7,8,7,10,11,8,11,9,10,10,11,11,10,11,10,10,11,7,10,10,7,9,7,7,11,7,11,11,11,10,23,"Woman",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,"White, non-hispanic","Associate’s Degree","No"
"69","R_2ym83UdPQ8AtxEa","5ed2109da3c8c204b76f6cd5",0.899999976158142,194,4,4,4,4,10,4,4,3,4,10,10,9,1,4,10,10,10,8,10,10,10,10,9,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,9,25,"Man",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Bachelor’s Degree","No"
