"","id","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","attn","q13","q14","q15","q16","q17","q18","q19","q20","q21","q22","q23","q24","q25","q26","q27","q28","q29","q30","q31","q32","q33","q34","q35","q36","q37","q38","q39","q40","q41","q42","q43","q44","q45","age","gid1","gid2","race","hispanic","ed","sud_hx"
"13",13,1,5,2,2,5,3,3,1,4,1,2,3,1,1,1,1,1,1,1,3,4,1,1,3,1,1,1,3,4,4,1,4,2,1,4,4,1,3,1,1,3,1,5,3,4,2,32,"Woman","Yes","White","No","High School","No"
"14",14,4,5,3,3,3,5,4,4,4,4,1,3,1,4,4,2,2,4,4,3,4,4,4,5,5,5,4,4,4,4,3,4,4,4,3,1,4,5,3,4,4,1,4,4,5,4,32,"Woman","Yes","Asian or Asian American","No","Bachelor’s Degree","No"
"15",15,3,5,3,2,2,4,3,2,4,4,2,4,1,3,3,3,3,3,2,3,5,4,5,5,4,3,5,5,5,5,2,2,4,3,4,4,2,4,1,2,3,3,5,4,3,3,32,"Man","Yes","Latine or Hispanic","Yes","Master’s Degree","No"
"16",16,5,5,5,5,5,5,5,2,5,5,1,5,1,4,5,3,5,5,5,4,4,5,5,5,5,5,5,5,4,4,4,4,5,3,2,1,4,4,4,2,2,1,3,5,4,5,41,"Man","Yes","Latine or Hispanic","Yes","High School","Yes"
"17",17,4,5,4,5,5,5,4,2,5,4,4,4,1,1,4,2,2,5,4,4,5,3,4,5,3,4,3,4,5,5,2,3,4,2,5,3,3,4,2,4,5,2,5,4,4,3,62,"Woman","Yes","White","No","High School","No"
"18",18,4,5,1,1,2,4,5,4,4,5,4,4,1,2,5,2,1,2,5,4,5,4,3,5,2,2,5,4,4,3,4,4,3,2,5,1,3,4,3,4,5,1,3,3,1,5,32,"Man","Yes","White","No","Associate’s Degree","No"
"19",19,5,5,5,5,5,5,5,5,5,5,2,5,1,4,5,4,4,4,5,5,3,4,5,5,5,5,4,5,5,5,4,4,5,3,2,2,3,5,3,2,2,2,3,4,4,5,33,"Woman","Yes","White","No","Bachelor’s Degree","No"
"20",20,4,5,4,4,3,3,4,3,3,2,3,3,1,3,4,4,3,3,3,4,5,4,3,4,3,2,4,3,3,2,4,2,3,3,2,2,4,3,4,3,4,4,2,4,3,2,23,"Man","Yes","Latine or Hispanic","Yes","High School","No"
"21",21,5,5,5,5,5,5,5,4,5,5,4,5,1,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,1,4,5,NA,1,5,5,4,1,5,1,1,5,4,5,31,"Man","Yes","White","No","High School","Yes"
"22",22,1,5,5,4,5,5,4,4,5,4,4,5,1,1,4,4,2,5,2,4,4,2,5,5,4,3,1,5,5,5,4,5,4,1,4,1,1,3,1,1,3,1,5,4,5,5,42,"Woman","Yes","Latine or Hispanic","Yes","Associate’s Degree","No"
"23",23,4,5,4,4,4,5,4,4,3,4,2,4,1,3,4,4,3,3,3,2,4,4,4,4,4,4,4,5,4,4,3,5,4,3,3,3,2,4,3,3,4,2,4,4,4,3,23,"Woman","Yes","Multiracial","No","Associate’s Degree","No"
"24",24,5,5,5,5,5,5,5,5,5,5,4,5,1,3,5,5,5,5,5,5,5,5,5,3,1,1,5,5,5,5,5,5,5,3,1,3,3,5,3,3,3,1,5,5,1,5,41,"Woman","Yes","White","No","Bachelor’s Degree","No"
"25",25,3,5,5,5,5,4,4,3,5,4,2,5,1,4,5,3,4,2,3,3,5,3,4,4,3,3,3,4,5,3,3,3,5,2,2,2,2,4,2,2,2,2,4,4,2,4,25,"Man","Yes","Asian or Asian American","No","Bachelor’s Degree","No"
"26",26,3,5,4,3,4,4,NA,3,4,3,4,2,1,2,5,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,2,4,2,3,3,4,4,3,25,"Man","Yes","Asian or Asian American","No","Bachelor’s Degree","No"
"27",27,4,5,5,5,5,5,5,5,5,4,4,4,1,4,4,5,4,3,4,4,5,5,4,5,4,4,5,5,5,5,5,5,5,4,2,2,3,4,3,4,3,2,4,5,2,4,47,"Woman","Yes","Asian or Asian American","No","Bachelor’s Degree","Yes"
"28",28,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,4,4,4,4,3,5,4,5,4,4,2,4,4,4,4,5,5,5,2,1,2,2,4,2,2,2,2,3,4,4,5,NA,"Man","Yes","White","No","High School","Yes"
"29",29,1,5,5,4,5,2,1,1,5,4,2,5,1,2,5,4,1,1,1,1,5,1,4,5,1,1,5,4,4,5,2,2,4,1,4,4,1,3,1,5,5,4,4,5,2,5,38,"Man","Yes","White","No","High School","No"
"30",30,5,5,5,5,5,5,5,5,5,5,2,5,1,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,2,1,1,5,3,1,1,3,5,5,5,5,20,"Woman","No","White","No","High School","No"
"31",31,5,5,5,5,5,5,5,5,5,4,4,4,1,3,5,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,1,4,5,2,2,4,3,4,5,5,5,21,"Non-Binary, Agender, or Other","No","White","No","High School","No"
"32",32,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,2,1,4,5,5,2,2,1,2,4,4,5,29,"Man","No","White","No","Bachelor’s Degree","No"
"33",33,3,5,4,4,5,4,3,3,4,5,1,3,1,3,5,4,4,4,4,4,4,4,4,5,3,3,5,5,5,4,3,3,5,4,2,1,5,4,3,4,4,1,3,5,3,3,53,"Man","Yes","White","No","High School","Yes"
"34",34,2,3,3,3,3,2,2,1,4,2,4,4,1,1,5,1,1,1,1,1,3,1,2,5,2,2,2,3,4,3,4,4,2,1,4,3,1,2,1,4,4,4,5,3,1,3,29,"Woman","Yes","White","No","Bachelor’s Degree","No"
"35",35,4,5,5,5,5,5,5,5,5,5,2,5,1,3,3,4,3,2,4,2,4,4,4,4,4,3,5,5,5,4,4,5,5,2,2,3,1,5,2,2,2,2,4,4,3,5,23,"Woman","Yes","White","No","High School","No"
"36",36,4,5,5,5,5,5,4,4,5,3,1,5,1,4,5,3,5,4,3,3,4,3,3,5,3,5,5,4,4,5,4,1,5,2,2,1,4,5,3,1,1,1,1,5,4,4,41,"Man","Yes","White","No","Bachelor’s Degree","Yes"
"37",37,4,5,4,4,5,4,4,3,4,2,2,4,1,4,5,5,4,3,3,3,4,3,5,NA,5,4,4,5,4,5,5,5,5,3,2,2,2,5,3,2,2,2,4,3,4,4,41,"Woman","Yes","White","No","Bachelor’s Degree","No"
"38",38,3,5,1,1,4,4,3,3,4,3,4,4,1,3,1,4,1,3,2,3,1,4,4,5,4,4,4,5,4,4,5,5,4,4,4,1,5,3,2,3,4,1,3,5,2,1,30,"Man","Yes","White","No","High School","No"
"39",39,4,5,5,5,5,3,4,4,4,4,1,4,1,3,4,2,3,2,3,3,4,5,4,5,3,2,5,NA,4,5,4,5,4,2,2,2,4,2,2,2,2,1,3,5,1,4,27,"Woman","Yes","Asian or Asian American","No","Bachelor’s Degree","No"
"40",40,3,3,3,4,4,2,2,2,3,4,3,4,1,5,5,2,4,3,3,3,4,4,3,3,1,2,4,4,4,4,2,3,4,3,3,2,3,3,2,4,4,2,3,4,3,2,26,"Man","Yes","Multiracial","No","Less than High School","No"
"41",41,4,4,5,4,4,5,4,4,4,4,2,4,1,4,4,3,4,4,4,3,5,4,4,4,4,4,4,4,4,5,3,3,4,4,1,2,4,4,4,4,2,1,3,5,4,3,26,"Man","Yes","White","No","Bachelor’s Degree","No"
"42",42,4,5,4,4,4,5,4,3,5,3,4,5,1,4,4,1,4,2,4,2,5,3,4,5,4,5,4,4,4,4,3,5,5,1,4,1,2,3,2,5,4,1,2,4,4,3,26,"Non-Binary, Agender, or Other","No","White","No","High School","Yes"
"43",43,2,5,5,5,4,3,4,3,5,3,3,2,1,3,4,2,3,5,3,3,4,5,3,5,5,1,5,5,3,4,3,3,3,4,1,1,4,3,3,3,3,1,1,4,2,3,21,"Man","No","Latine or Hispanic","Yes","High School","I don’t know"
"44",44,5,5,5,5,5,5,5,4,5,5,4,5,1,4,5,5,4,4,4,5,5,4,5,5,4,3,5,5,5,5,4,5,5,2,3,2,4,5,2,1,3,2,4,5,5,5,37,"Non-Binary, Agender, or Other","No","Asian or Asian American","No","Associate’s Degree","No"
"45",45,4,5,5,5,5,4,3,2,5,5,2,4,1,2,5,2,5,5,3,2,4,3,4,5,3,2,5,4,5,4,4,4,4,4,2,1,4,4,3,2,2,2,2,5,2,4,37,"Man","Yes","Latine or Hispanic","Yes","Bachelor’s Degree","No"
"46",46,5,5,4,4,4,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,4,5,5,5,5,3,5,5,5,5,4,5,5,4,2,3,3,5,4,1,2,1,4,5,4,4,25,"Woman","Yes","White","No","High School","No"
"47",47,4,5,4,4,4,5,5,4,5,5,5,4,1,5,4,4,3,2,4,4,5,5,5,5,4,5,4,3,4,4,2,3,5,2,4,3,3,5,3,2,2,2,3,4,2,4,27,"Man","Yes","Asian or Asian American","No","Bachelor’s Degree","No"
"48",48,4,5,4,4,5,5,4,4,5,5,2,4,1,2,4,3,2,3,4,4,5,4,5,4,3,3,4,5,4,4,4,4,4,2,2,2,4,3,3,2,2,1,4,4,4,2,55,"Woman","Yes","White","No","Other option not represented here","No"
"49",49,5,5,5,5,5,5,5,5,5,5,1,4,1,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,4,5,4,4,5,3,2,1,2,5,3,2,2,1,2,5,3,4,28,"Man","Yes","White","No","Bachelor’s Degree","No"
"50",50,4,5,4,4,4,4,4,4,5,4,3,4,1,2,4,3,4,3,4,4,5,4,3,5,5,4,4,4,5,4,4,4,5,2,3,3,3,4,3,4,4,3,4,4,4,4,35,"Man","Yes","Asian or Asian American","No","Bachelor’s Degree","No"
"51",51,4,5,5,4,5,4,4,4,4,1,2,5,1,3,4,3,3,1,3,3,5,4,3,4,3,3,3,4,5,5,3,3,5,1,3,3,2,5,1,3,3,3,4,5,2,3,31,"Man","Yes","White","No","Associate’s Degree","No"
"52",52,5,5,5,5,5,5,5,5,5,4,2,4,1,4,5,4,4,4,4,4,5,4,5,5,5,3,5,5,4,4,3,4,5,4,3,2,4,3,3,2,2,2,3,4,5,4,26,"Woman","Yes","White","No","Bachelor’s Degree","No"
"53",53,5,5,3,3,3,5,5,5,5,4,1,4,1,1,5,5,4,5,4,5,4,5,3,4,3,3,5,4,4,4,4,4,4,4,2,1,5,3,3,3,4,1,2,5,1,5,41,"Man","Yes","White","No","High School","No"
"54",54,5,5,5,5,5,4,4,4,5,4,4,5,1,5,5,1,4,3,4,3,5,3,3,5,3,3,5,3,5,4,3,4,4,2,1,2,3,4,1,3,3,2,3,5,4,5,28,"Man","Yes","White","No","Bachelor’s Degree","No"
"55",55,4,4,4,4,4,4,4,4,4,4,5,4,1,5,NA,4,4,4,5,5,5,5,4,5,4,5,4,4,5,5,4,4,4,4,4,5,4,4,4,4,4,5,5,4,4,4,21,"Man","Yes","White","No","High School","No"
"56",56,5,5,5,5,5,5,5,5,5,4,4,4,1,3,4,4,2,3,3,3,3,4,5,3,5,5,4,5,4,5,5,5,5,3,2,2,3,5,3,3,4,2,4,5,3,5,38,"Man","Yes","White","No","Other option not represented here","No"
"57",57,5,4,3,3,3,NA,5,5,4,4,3,3,1,4,4,4,2,5,4,5,4,5,5,5,4,4,5,5,4,5,5,5,5,5,2,1,4,4,4,2,4,2,2,5,4,4,27,"Woman","Yes","Black or African American","No","Bachelor’s Degree","No"
"58",58,3,5,5,4,5,4,3,3,5,3,4,4,1,3,2,2,2,2,3,3,5,3,4,4,3,4,4,4,4,5,4,3,4,3,3,2,2,4,2,4,4,3,4,4,4,4,NA,"Woman","Yes","Multiracial","No","Associate’s Degree","Yes"
"59",59,5,5,5,5,3,5,5,5,5,5,1,5,1,5,5,4,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,4,1,1,5,5,3,1,1,1,2,5,5,5,42,"Woman","Yes","White","No","Bachelor’s Degree","No"
"60",60,5,5,5,4,5,5,5,5,5,5,2,5,1,5,4,4,2,4,5,5,5,5,5,5,5,4,5,4,5,5,4,4,5,2,1,2,4,5,4,4,4,2,3,5,4,5,46,"Woman","Yes","White","No","High School","Yes"
"61",61,3,5,5,5,5,3,3,2,5,4,3,4,1,1,3,3,1,1,2,3,4,3,3,5,2,2,2,4,5,4,3,2,4,2,5,5,1,4,1,5,3,3,5,4,3,4,45,"Woman","Yes","Black or African American","No","High School","No"
"62",62,4,5,5,5,5,5,4,2,3,4,1,5,1,4,5,4,5,5,2,5,4,4,5,3,1,2,5,5,3,5,3,2,4,4,1,1,4,4,2,2,4,1,2,5,3,5,37,"Man","Yes","White","No","Master’s Degree","No"
"63",63,5,5,5,5,5,5,5,4,5,5,2,5,1,5,5,5,5,5,5,4,4,5,5,5,5,3,5,5,4,4,5,5,5,3,1,2,4,5,4,1,2,2,2,4,5,5,29,"Woman","Yes","White","No","Associate’s Degree","No"
"64",64,3,5,5,5,5,4,4,3,4,3,3,3,1,3,5,5,5,5,4,4,5,5,3,5,1,1,5,4,4,4,3,3,3,4,3,1,5,3,3,4,4,3,3,5,5,3,43,"Man","Yes","White","No","Bachelor’s Degree","No"
"65",65,2,5,1,1,1,1,3,3,5,4,4,4,1,1,2,1,1,1,1,3,5,3,5,4,4,4,2,4,4,5,1,4,5,1,4,2,1,4,1,4,3,1,5,4,2,3,23,"Woman","Yes","White",NA,"Bachelor’s Degree","No"
"66",66,3,4,3,4,3,4,3,2,3,3,4,4,1,2,4,3,4,3,2,4,3,2,3,4,4,4,3,4,3,4,2,2,NA,3,3,2,2,3,2,3,4,4,2,3,3,2,27,"Man","Yes","Latine or Hispanic","Yes","Associate’s Degree","No"
"67",67,2,4,3,2,4,4,2,1,4,4,4,4,1,1,3,3,1,1,1,2,4,2,3,4,2,2,3,4,4,4,2,3,4,2,3,5,3,4,1,5,3,3,5,4,2,3,34,"Man","Yes","White","No","Bachelor’s Degree","No"
"68",68,5,5,5,5,5,5,5,5,5,5,3,4,1,5,5,5,4,5,4,5,5,5,5,5,4,3,5,5,5,5,5,5,5,3,2,1,4,5,3,2,3,3,4,4,5,5,40,"Woman","Yes","White","No","High School","No"
"69",69,4,5,3,3,3,4,4,4,5,5,1,3,1,4,4,4,3,3,4,5,4,4,5,4,4,3,4,5,5,5,4,4,5,2,3,2,4,4,1,2,3,2,4,4,5,NA,35,"Woman","Yes","Multiracial","No","Master’s Degree","No"
"70",70,5,5,3,3,3,5,3,5,5,5,1,1,1,1,5,5,5,5,5,5,4,5,5,1,1,3,5,5,3,3,5,3,3,5,1,1,5,5,3,2,3,1,1,5,4,3,41,"Man","Yes","White","No","High School","No"
"71",71,4,1,4,4,4,4,2,1,4,4,2,2,1,2,4,4,4,4,4,5,5,4,3,4,3,2,4,4,4,4,1,1,5,4,1,4,2,4,2,2,4,4,4,5,4,2,30,"Man","Yes","White","No","High School","No"
"72",72,3,5,5,4,5,1,3,3,3,5,3,3,1,3,4,3,2,5,2,1,3,3,3,4,1,1,4,4,5,2,1,4,5,2,1,2,3,4,2,4,4,2,5,4,3,1,52,"Man","Yes","White","No","High School","Yes"
"73",73,3,5,3,3,3,3,3,3,5,5,3,5,1,3,5,3,3,3,3,4,4,4,3,5,4,3,5,3,5,5,3,5,3,3,1,2,4,4,2,1,3,3,1,5,4,5,38,"Man","Yes","Black or African American","No","Bachelor’s Degree","No"
"74",74,5,5,3,3,3,5,5,5,5,5,1,3,1,5,5,4,5,4,5,5,5,5,4,5,4,4,5,5,5,5,4,4,4,2,5,2,3,5,1,2,2,4,4,4,4,4,25,"Man","Yes","Asian or Asian American","No","Bachelor’s Degree","No"
"75",75,1,5,3,3,3,1,1,1,5,4,5,3,1,5,3,2,3,1,1,3,3,2,3,4,2,1,1,3,3,4,2,4,3,1,3,4,1,3,1,2,3,3,4,3,3,3,50,"Woman","Yes","Black or African American","No","Associate’s Degree","No"
"76",76,5,5,5,4,5,5,5,5,5,5,2,4,1,5,4,4,4,5,5,5,5,5,4,5,3,3,5,5,5,5,5,5,3,3,1,3,4,4,3,3,4,2,4,5,4,5,38,"Man","Yes","White","No","High School","Yes"
"77",77,4,5,5,5,5,3,4,3,5,5,2,5,1,3,2,4,3,4,3,5,4,4,5,4,4,4,5,5,5,5,4,4,4,1,4,4,3,4,4,4,3,1,4,4,4,5,76,"Woman","Yes","Black or African American","No","Associate’s Degree","No"
"78",78,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,1,4,5,5,3,3,1,2,5,5,5,25,"Woman","No","White","No","Master’s Degree","No"
"79",79,1,5,3,3,2,2,1,1,3,4,4,3,1,4,2,4,2,3,3,3,4,3,3,4,2,2,4,4,3,4,3,4,2,5,2,3,4,3,3,4,2,2,2,5,2,3,31,"Man","Yes","White","No","Bachelor’s Degree","No"
"80",80,5,5,5,5,5,5,3,3,5,5,2,5,1,1,2,1,2,1,2,3,5,4,3,5,5,3,4,4,5,4,2,2,5,1,4,4,1,3,1,5,4,2,5,4,5,4,75,"Woman","Yes","White","No","Bachelor’s Degree","No"
"81",81,3,4,4,4,4,4,3,3,4,3,3,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,32,"Woman","Yes","White","No","Bachelor’s Degree","No"
"82",82,4,5,4,4,5,4,4,4,5,4,3,5,1,3,2,3,1,4,4,3,5,3,4,4,4,3,5,4,5,3,4,4,5,1,3,4,1,4,1,4,4,1,5,5,2,4,57,"Woman","Yes","White","No","High School","No"
"83",83,4,5,4,3,5,5,4,4,5,5,4,4,1,3,4,4,5,3,3,4,5,4,4,5,3,3,4,5,4,4,3,3,4,1,2,2,3,4,2,2,4,2,4,3,2,4,33,"Man","Yes","Latine or Hispanic","Yes","Bachelor’s Degree","No"
"84",84,4,5,5,5,5,5,4,4,5,4,2,4,1,4,5,4,4,4,4,3,4,3,5,5,5,4,4,5,5,3,5,5,4,2,2,3,1,5,3,2,2,2,5,4,2,3,40,"Woman","Yes","White","No","Associate’s Degree","No"
"85",85,5,5,5,5,5,5,5,4,5,5,1,5,1,4,5,5,3,3,4,4,5,4,5,5,5,4,5,5,5,5,5,5,3,3,2,1,3,5,3,2,2,1,3,4,5,5,23,"Woman","Yes","White","No","Bachelor’s Degree","No"
"86",86,4,5,4,4,4,4,4,4,5,5,3,5,1,4,4,2,2,3,3,2,5,4,4,4,4,4,3,4,5,4,3,3,5,1,1,3,2,4,2,2,2,2,3,4,3,4,41,"Woman","Yes","Black or African American","No","Bachelor’s Degree","No"
"87",87,1,4,5,4,5,2,NA,2,4,4,2,3,1,1,4,NA,1,3,1,4,5,4,2,5,5,4,4,4,5,4,4,4,4,3,2,5,3,3,1,3,4,2,5,5,4,3,61,"Woman","Yes","White","No","High School","Yes"
"88",88,3,4,4,3,2,4,3,2,4,4,3,3,1,3,3,3,4,4,4,4,4,5,2,4,4,2,4,4,5,2,4,4,4,3,2,2,5,4,4,3,3,2,4,4,2,4,28,"Man","Yes","White","No","High School","No"
"89",89,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,1,3,5,5,1,1,2,4,5,4,5,42,"Man","Yes","White","No","Bachelor’s Degree","No"
"90",90,4,5,5,5,5,5,5,4,5,5,3,2,1,4,5,5,4,5,5,4,4,5,4,5,5,5,4,5,4,5,5,4,5,3,1,1,4,5,4,2,2,1,2,5,5,4,52,"Woman","Yes","Multiracial","No","High School","No"
"91",91,NA,3,3,3,3,1,1,1,3,5,3,4,1,1,4,4,3,1,1,1,5,1,4,1,1,3,2,3,3,5,3,1,3,1,5,5,1,1,1,4,3,4,5,3,3,4,42,"Man","Yes","Asian or Asian American","No","Associate’s Degree","No"
"92",92,5,5,3,3,1,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,3,2,1,5,5,3,1,1,1,1,5,4,5,21,"Woman","Yes","Black or African American","No","Bachelor’s Degree","No"
"93",93,4,5,4,4,4,4,4,4,NA,4,3,4,1,1,5,5,3,3,4,4,3,4,4,5,5,3,4,5,4,5,4,5,4,4,1,1,4,4,4,2,3,1,3,4,4,4,55,"Man","Yes","White","No","Associate’s Degree","No"
"94",94,3,5,4,4,5,3,2,1,5,5,4,3,1,1,5,3,1,3,2,3,4,2,4,4,4,3,3,4,4,4,2,5,4,2,2,3,2,4,2,1,3,3,4,4,5,5,32,"Woman","Yes","White","No","Master’s Degree","Yes"
"95",95,3,5,2,4,5,3,3,5,4,3,4,4,1,1,4,2,2,3,3,5,4,3,4,3,3,3,4,3,3,4,3,3,4,2,4,4,4,3,2,3,5,2,5,4,3,4,22,"Woman","Yes","Multiracial","No","Bachelor’s Degree","No"
"96",96,5,5,5,5,5,5,5,4,5,5,3,5,1,5,5,4,5,5,5,4,5,5,2,5,5,3,4,4,4,5,4,4,4,2,2,2,1,4,1,2,2,2,4,5,4,4,35,"Man","Yes","White","No","Master’s Degree","No"
"97",97,5,5,5,5,5,3,5,4,5,5,1,4,1,2,4,4,4,2,4,2,5,4,5,5,5,5,4,5,5,5,4,4,5,2,4,5,2,4,2,2,2,2,5,2,3,2,44,"Man","Yes","White","No","Bachelor’s Degree","No"
"98",98,5,5,5,4,5,5,5,5,4,4,2,4,1,1,5,4,5,5,4,5,4,5,4,5,5,4,5,4,3,5,4,4,3,5,1,1,4,5,3,4,5,2,2,5,4,5,25,"Man","Yes","Asian or Asian American","No","Bachelor’s Degree","No"
"99",99,5,5,5,5,5,5,5,5,5,4,1,5,1,3,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,4,5,5,4,3,2,1,2,5,1,1,1,1,4,5,5,5,27,"Woman","Yes","Black or African American","No","Bachelor’s Degree","No"
"100",100,5,5,5,5,5,5,5,5,5,4,1,4,1,4,5,5,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,1,3,4,4,4,1,5,1,3,5,5,4,3,29,"Man","Yes","White","No","Master’s Degree","No"
"101",101,5,5,5,5,5,5,5,5,5,5,2,4,1,4,5,1,3,4,5,5,4,5,5,5,5,5,5,5,4,5,5,4,5,4,1,1,3,5,3,2,2,1,2,5,4,4,30,"Man","Yes","White","No","High School","No"
"102",102,4,5,4,1,2,4,3,4,5,5,2,5,1,2,5,2,1,2,4,3,4,2,2,4,4,4,4,5,4,5,2,4,4,1,2,4,1,4,2,3,4,2,5,2,3,4,21,"Man","Yes","White","No","High School","No"
"103",103,5,5,5,5,3,5,5,5,5,5,1,5,1,5,5,4,5,5,4,5,5,4,5,5,4,5,5,5,4,5,5,4,4,4,1,1,3,5,3,1,2,1,2,5,2,4,50,"Man","Yes","White","No","Bachelor’s Degree","No"
"104",104,4,4,5,4,5,4,1,2,5,5,4,4,1,2,5,2,1,2,2,2,5,2,4,5,4,2,5,5,5,5,2,4,5,4,1,2,4,4,4,2,2,1,4,5,4,5,54,"Woman","Yes","White","No","High School","No"
"105",105,4,5,4,4,5,5,1,1,5,5,5,5,1,1,2,1,4,4,1,1,5,1,4,5,1,2,4,5,5,2,4,4,2,1,2,2,4,4,2,5,5,4,5,5,2,5,31,"Man","Yes","Latine or Hispanic","Yes","Associate’s Degree","No"
"106",106,3,5,5,2,5,3,4,3,5,5,1,4,1,4,1,5,5,5,3,5,5,3,5,5,3,5,5,5,4,5,5,5,5,4,1,2,1,3,3,2,4,1,3,5,5,2,32,"Woman","Yes","White","No","High School","No"
"107",107,4,5,5,4,5,4,3,3,5,5,3,5,1,3,4,3,4,3,3,3,5,3,4,5,3,3,5,5,5,4,3,4,5,2,3,3,2,4,1,3,3,2,4,4,1,4,33,"Man","Yes","White","No","Bachelor’s Degree","No"
"108",108,3,5,3,3,3,5,3,3,5,5,1,5,1,1,5,5,1,3,1,1,5,1,5,5,5,4,3,5,5,3,5,5,5,1,3,3,2,3,1,3,3,4,5,5,5,4,40,"Man","Yes","Black or African American","No","Doctorate Degree (PhD, PsyD, etc.)","No"
