"","id","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","attn","q13","q14","q15","q16","q17","q18","q19","q20","q21","q22","q23","q24","q25","q26","q27","q28","q29","q30","q31","q32","q33","q34","q35","q36","q37","q38","q39","q40","q41","q42","q43","q44","q45","age","gid1","gid2","race","hispanic","ed","sud_hx"
"11",11,5,5,5,5,5,5,4,4,5,5,1,5,1,5,5,2,3,3,4,3,4,4,5,5,3,3,4,5,5,4,5,5,5,2,3,3,1,4,1,1,3,4,4,5,4,5,27,"Woman","Yes","White","No","High School","Yes"
"12",12,3,5,2,1,1,4,3,2,5,1,2,2,1,5,5,3,4,5,1,4,3,5,5,3,2,2,5,4,3,5,4,3,3,3,3,2,4,4,4,2,4,3,2,5,1,2,27,"Man","Yes","Multiracial",NA,"High School","No"
"13",13,5,5,5,5,5,5,5,4,5,5,3,5,1,4,5,4,3,4,4,4,4,4,4,5,5,3,4,3,3,5,5,5,5,2,3,4,4,3,3,2,4,2,4,4,2,4,30,"Man","Yes","White","No","High School","No"
"14",14,5,5,5,4,5,5,5,4,5,5,1,4,1,3,4,4,5,4,4,3,5,5,2,4,5,3,5,5,5,2,3,4,5,2,2,1,4,5,2,1,2,1,2,4,3,4,40,"Man","Yes","White","No","Associate’s Degree","No"
"15",15,5,5,4,4,5,4,5,3,5,5,2,4,1,3,3,3,3,4,3,2,5,3,4,5,4,4,5,4,4,5,4,4,5,3,3,3,2,5,2,3,3,2,4,5,4,4,51,"Woman","Yes","White","No","Master’s Degree","No"
"16",16,3,5,4,4,5,5,1,1,5,3,4,5,1,5,3,1,2,4,1,3,5,4,4,3,2,1,4,5,5,4,2,3,4,4,1,2,5,4,2,3,3,2,4,5,2,5,63,"Man","Yes","White","No","Bachelor’s Degree","No"
"17",17,5,5,5,5,5,5,5,5,5,3,2,4,1,4,5,3,4,3,5,5,5,4,5,5,5,4,5,5,5,3,4,5,4,2,3,4,1,5,4,3,3,3,4,4,3,5,55,"Woman","Yes","White","No","Master’s Degree","No"
"18",18,5,5,5,3,5,5,5,5,5,5,2,4,1,5,5,4,5,3,5,5,5,4,5,5,4,4,5,5,5,5,4,4,5,3,2,2,4,5,3,4,4,2,3,5,4,4,28,"Woman","Yes","White","No","Associate’s Degree","No"
"19",19,5,NA,5,5,4,5,5,5,5,5,2,5,1,5,5,4,5,5,5,5,4,5,5,5,4,4,5,5,5,5,4,4,4,3,1,1,4,4,3,2,2,1,2,5,5,4,26,"Man","Yes","White","No","High School","No"
"20",20,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4,1,1,4,5,5,1,1,1,2,5,5,5,33,"Non-Binary, Agender, or Other","No","White","No","Bachelor’s Degree","No"
"21",21,4,5,3,3,3,2,4,4,4,4,3,4,1,3,4,3,4,5,4,5,4,5,5,5,3,3,4,5,4,5,3,3,3,4,2,1,5,3,3,3,4,2,2,5,4,3,24,"Man","Yes","White",NA,"High School","No"
"22",22,4,3,4,2,3,4,3,4,3,3,3,3,0,4,3,4,3,4,2,3,2,2,4,3,3,3,3,4,3,4,3,3,3,4,3,2,3,3,4,3,3,2,3,4,4,2,51,"Man","Yes","White","No","Bachelor’s Degree","No"
"23",23,1,3,1,2,1,3,1,1,3,3,4,2,1,1,1,1,1,1,1,4,5,3,1,3,1,1,2,1,2,4,1,3,2,2,4,5,1,4,1,5,2,5,5,1,1,2,22,"Man","Yes","White","No","Bachelor’s Degree","I don’t know"
"24",24,3,5,5,5,5,3,3,3,4,4,3,4,1,4,4,2,1,3,3,3,4,4,3,4,3,4,5,3,5,5,3,2,5,3,1,1,3,3,3,2,2,2,2,5,3,4,28,"Non-Binary, Agender, or Other","Prefer not to say","Other or Prefer not to say","No","Prefer not to say","I don’t know"
"25",25,5,5,4,5,5,5,4,2,5,4,2,3,1,2,5,3,1,4,2,4,5,4,4,4,5,5,3,4,3,5,4,5,4,1,1,1,4,4,3,4,4,1,2,5,5,2,32,"Woman","Yes","White","No","Master’s Degree","No"
"26",26,3,2,3,2,3,3,3,3,3,4,3,3,1,3,3,2,2,3,3,3,3,4,4,4,3,2,2,4,3,4,2,3,3,3,3,3,4,4,2,3,3,2,4,4,3,2,30,"Man","Yes","White","No","High School","No"
"27",27,3,4,4,4,4,4,2,2,4,4,4,3,1,2,3,3,2,4,2,2,5,3,4,4,3,3,3,3,4,2,2,3,4,2,3,2,2,2,2,3,4,3,4,4,2,4,36,"Woman","Yes","White","No","High School","Yes"
"28",28,4,5,5,5,5,4,4,3,5,4,3,4,1,3,4,4,3,3,3,3,5,3,4,5,4,4,5,4,4,4,3,4,4,4,3,2,3,4,4,2,4,1,3,4,3,3,55,"Woman","Yes","White","No","Master’s Degree","No"
"29",29,5,5,5,5,5,5,4,3,4,5,2,5,1,5,5,3,4,3,4,3,3,4,4,5,3,3,4,4,5,5,5,5,5,3,3,1,1,5,3,3,3,3,5,5,2,5,62,"Woman","Yes","White","No","Bachelor’s Degree","No"
"30",30,4,5,5,5,4,5,4,4,5,4,4,5,1,2,3,2,3,3,1,4,5,4,4,4,2,4,3,NA,5,4,4,4,4,2,4,2,1,4,1,2,4,2,4,4,4,4,28,"Woman","Yes","Asian or Asian American","No","Bachelor’s Degree","No"
"31",31,4,5,4,4,3,4,4,4,5,4,2,4,1,4,4,4,2,4,5,4,4,4,4,4,4,4,5,5,4,5,2,2,3,3,2,2,4,4,3,2,4,2,3,5,4,4,21,"Woman","Yes","Multiracial","No","High School","No"
"32",32,2,4,4,4,5,4,2,2,4,4,4,4,1,2,2,2,2,2,2,2,4,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,2,4,4,2,5,4,4,4,56,"Woman","Yes","White","No","Bachelor’s Degree","No"
"33",33,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,4,3,5,4,5,5,5,5,5,5,4,5,4,5,5,2,1,1,4,5,3,1,3,1,3,5,3,5,NA,"Woman","Yes","White","No","High School","No"
"34",34,3,4,5,5,5,5,3,2,5,3,2,5,1,1,3,2,1,2,3,2,5,3,3,4,3,2,3,5,4,4,4,3,5,3,2,3,3,4,2,3,4,2,3,5,2,3,40,"Man","Yes","White","No","Bachelor’s Degree","No"
"35",35,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,3,5,5,5,5,5,5,5,5,5,3,5,5,5,5,3,4,5,1,1,1,1,5,3,2,2,3,3,5,3,3,30,"Man","Yes","White","No","Bachelor’s Degree","No"
"36",36,4,5,5,5,5,5,3,3,5,5,4,2,1,5,5,4,5,3,2,3,5,3,5,4,3,3,4,5,4,4,5,3,5,3,2,2,2,4,2,2,2,2,4,5,4,4,32,"Man","Yes","White","No","Bachelor’s Degree","Yes"
"37",37,5,5,5,5,5,5,5,4,5,5,1,5,1,4,5,3,4,4,5,3,5,4,5,5,5,5,5,5,5,5,5,5,5,2,2,2,3,5,2,2,3,1,4,4,3,5,47,"Man","Yes","White","No","High School","No"
"38",38,5,5,5,5,5,5,5,5,5,5,1,4,1,5,5,5,4,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,3,1,1,5,4,3,1,2,1,5,5,5,3,46,"Woman","Yes","White","No","Bachelor’s Degree","No"
"39",39,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,1,1,3,5,4,1,2,1,3,4,5,5,27,"Woman","Yes","White","No","Master’s Degree","No"
"40",40,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,3,4,5,3,5,3,1,1,5,5,5,30,"Man","Yes","Multiracial",NA,"High School","Yes"
"41",41,3,5,4,4,3,3,2,1,5,5,2,3,1,3,3,2,4,4,5,3,5,5,4,4,5,4,5,NA,3,5,3,4,5,3,2,2,4,4,2,3,4,1,2,4,4,3,19,"Man","Yes","Latine or Hispanic","Yes","High School","No"
"42",42,3,5,2,3,NA,1,3,3,4,3,4,3,1,2,4,2,3,3,2,3,4,2,4,4,3,3,4,4,4,4,3,4,4,2,3,2,2,3,2,4,4,2,4,4,4,2,22,"Woman","Yes","Asian or Asian American","No","High School","No"
"43",43,5,5,5,5,5,5,5,4,5,5,5,5,1,5,5,3,4,4,4,4,4,4,4,5,5,3,1,5,5,5,4,4,4,3,3,3,1,5,3,2,2,3,3,4,4,4,84,"Woman","Yes","White","No","Master’s Degree","No"
"44",44,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,1,1,5,2,3,1,3,1,2,5,3,5,48,"Woman","Yes","White","No","Master’s Degree","No"
"45",45,4,5,4,3,3,5,5,5,5,4,1,4,1,5,4,5,4,3,5,4,4,4,5,5,4,4,5,5,5,5,3,4,5,3,2,2,3,4,3,2,2,2,3,4,3,4,27,"Non-Binary, Agender, or Other","No","White","No","High School","No"
"46",46,5,5,5,5,5,5,5,5,5,4,2,4,1,5,5,4,4,5,5,5,3,5,4,5,4,4,5,4,4,5,5,5,3,4,2,1,4,4,3,1,1,1,2,5,5,5,25,"Woman","Yes","White","No","Bachelor’s Degree","No"
"47",47,4,5,5,5,5,3,3,3,5,5,3,5,1,2,4,1,3,3,2,2,4,3,3,3,4,4,2,3,4,5,5,5,2,3,3,2,3,3,3,2,2,2,5,3,3,5,38,"Woman","Yes","White","No","Bachelor’s Degree","No"
"48",48,5,5,2,2,2,5,5,5,5,4,2,3,1,4,5,2,4,4,5,5,4,4,3,5,3,4,4,4,4,4,3,3,5,3,2,3,4,3,3,4,4,2,3,5,3,4,27,"Woman","Yes","Asian or Asian American","No","Bachelor’s Degree","No"
"49",49,4,5,5,5,5,1,1,1,5,4,5,5,1,1,1,5,3,1,1,1,5,1,4,4,3,3,3,4,4,5,4,4,5,1,5,5,3,3,1,3,5,4,5,5,3,5,41,"Man","Yes","White","No","Master’s Degree","No"
"50",50,5,5,5,5,5,4,5,4,5,5,1,5,1,5,5,5,5,5,5,5,3,5,5,4,3,4,5,5,5,5,3,3,3,5,1,1,4,5,3,1,2,1,2,5,4,5,47,"Man","Yes","White","No","Associate’s Degree","No"
"51",51,1,NA,3,1,3,2,1,1,5,4,5,3,1,1,1,1,1,1,1,1,5,1,2,5,1,3,2,1,5,4,1,4,1,1,1,5,1,1,1,5,5,1,5,5,1,3,35,"Man","Yes","Latine or Hispanic","Yes","High School","No"
"52",52,3,5,4,4,3,3,3,2,4,3,4,4,1,1,4,5,2,3,1,2,5,5,2,2,4,4,3,4,5,NA,3,4,5,4,5,4,3,4,2,5,2,3,5,4,2,4,35,"Man","Yes","White","No","High School","No"
"53",53,1,5,5,5,5,5,1,1,5,5,1,4,1,1,1,1,1,1,1,1,5,1,5,5,5,1,3,5,5,5,5,5,5,1,1,5,1,5,1,5,5,3,5,5,1,1,40,"Woman","Yes","White","No","Master’s Degree","No"
"54",54,4,5,5,3,2,3,5,2,5,5,1,3,1,2,5,3,3,1,3,4,3,4,5,5,5,4,3,5,5,5,1,4,4,2,4,1,1,4,1,2,4,2,5,5,4,5,43,"Man","Yes","Asian or Asian American","No","Bachelor’s Degree","No"
"55",55,5,5,5,5,5,5,4,5,5,5,2,3,1,5,5,5,4,5,3,5,5,5,4,5,3,3,5,4,5,5,5,5,5,3,2,1,5,4,3,2,2,3,4,5,5,5,41,"Man","Yes","White","No","High School","Prefer not to say"
"56",56,1,5,3,3,3,1,1,1,5,2,3,4,1,5,1,2,1,3,1,1,4,1,1,3,1,1,5,1,5,5,1,4,4,1,1,5,1,4,1,5,5,4,5,5,1,2,24,"Man","Yes","White","No","High School","No"
"57",57,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,25,"Non-Binary, Agender, or Other","Prefer not to say","Other or Prefer not to say","No","Bachelor’s Degree","I don’t know"
"58",58,4,4,3,3,3,4,4,4,4,4,2,4,1,3,4,4,3,3,3,4,4,4,4,4,4,3,2,4,4,4,3,3,4,2,3,2,2,4,3,2,2,2,4,3,4,4,29,"Woman","Yes","Asian or Asian American","No",NA,"No"
"59",59,4,5,2,2,3,2,2,2,3,4,4,4,1,3,2,2,2,2,4,2,4,5,3,3,5,3,3,2,4,2,2,3,3,4,2,1,2,4,4,3,2,2,2,4,3,3,23,"Man","Yes","Latine or Hispanic","Yes","Associate’s Degree","No"
"60",60,5,5,3,3,3,4,5,5,5,5,2,4,1,5,5,5,5,5,4,5,4,5,5,5,4,5,5,5,5,5,5,5,4,2,2,2,3,4,4,1,1,1,2,4,3,5,34,"Man","Yes","White","No","Bachelor’s Degree","No"
"61",61,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,4,5,5,5,5,4,5,4,5,5,5,5,5,5,5,4,5,5,5,3,2,3,5,3,2,2,1,3,5,5,4,22,"Woman","Yes","White","No","Bachelor’s Degree","No"
"62",62,5,5,5,5,5,5,5,5,5,5,2,5,1,5,5,5,5,5,5,5,5,4,5,5,1,1,4,5,5,4,3,5,5,2,5,4,3,5,1,3,3,3,4,5,5,5,29,"Woman","Yes","White","No","Bachelor’s Degree","No"
"63",63,5,5,5,5,5,5,5,4,5,1,1,5,1,5,5,2,5,5,4,5,5,4,4,5,3,3,5,5,5,5,5,5,5,4,4,3,3,4,4,2,4,3,5,4,4,5,24,"Man","Yes","Asian or Asian American","No","Bachelor’s Degree","No"
"64",64,2,4,3,3,3,4,2,2,4,4,3,3,1,3,2,3,1,2,4,2,3,2,5,4,3,3,3,4,1,5,4,4,5,3,2,3,1,3,2,4,2,4,5,4,4,3,61,"Woman","Yes","White",NA,"Professional Degree (J.D., M.D., etc.)","No"
"65",65,4,5,5,5,5,5,4,2,5,3,3,3,1,5,3,2,4,3,4,5,5,5,3,4,4,4,3,4,5,4,2,4,3,2,2,2,4,3,2,2,4,2,3,4,4,3,33,"Man","Yes","White","No","Master’s Degree","No"
"66",66,2,5,4,5,5,3,3,2,4,5,3,2,1,2,2,2,1,1,1,2,5,2,3,4,2,2,4,3,5,5,2,2,5,3,3,3,4,2,1,5,5,2,5,5,2,3,25,"Woman","Yes","Black or African American","No","Bachelor’s Degree","No"
"67",67,4,3,3,3,3,3,4,2,4,4,3,3,1,2,4,3,2,2,4,3,4,3,4,5,4,4,4,4,5,4,4,4,4,1,3,4,1,3,1,4,3,2,5,4,3,4,26,"Woman","Yes","Asian or Asian American","No","Bachelor’s Degree","No"
"68",68,5,5,5,5,5,4,4,5,5,5,2,5,1,2,4,4,1,2,1,4,5,2,5,3,4,4,5,5,4,5,4,4,5,1,4,4,1,3,1,1,5,1,5,5,5,4,23,"Woman","Yes","White","No","Associate’s Degree","No"
"69",69,4,4,4,4,4,4,4,3,4,4,4,3,1,4,4,4,4,2,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,3,25,"Man","Yes","White","No","Bachelor’s Degree","No"
"70",70,NA,5,5,5,5,5,5,5,5,5,1,5,1,5,5,1,5,5,5,5,5,5,5,3,4,3,5,5,4,5,3,3,5,4,1,1,5,5,4,1,1,1,2,5,5,5,40,"Man","Yes","White","No","Less than High School","No"
"71",71,2,4,3,2,2,3,3,3,3,4,2,2,1,2,4,4,3,3,4,3,4,2,3,4,3,2,4,3,3,4,3,4,4,2,2,2,3,3,3,2,4,3,3,4,2,2,21,"Man","Yes","Multiracial","No","Bachelor’s Degree","No"
"72",72,4,4,4,4,4,3,3,4,3,3,4,4,1,3,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,4,4,3,3,4,3,4,4,4,3,4,4,3,4,28,"Man","Yes","White","No","Bachelor’s Degree","No"
"73",73,3,5,4,4,5,4,3,4,5,5,3,4,1,4,4,1,2,2,3,2,3,3,4,5,4,2,3,4,4,4,1,1,2,2,1,2,3,3,2,1,3,1,3,5,5,3,34,"Man","Yes","White","No","Associate’s Degree","No"
"74",74,NA,5,5,5,5,5,4,4,5,3,4,4,1,3,4,2,4,3,4,4,4,5,3,5,3,3,5,3,4,4,3,3,2,2,2,1,3,4,3,2,3,2,2,5,4,4,35,"Man","Yes","White","No","Bachelor’s Degree","No"
"75",75,3,5,5,5,5,5,3,3,5,4,3,4,1,3,3,2,2,3,3,2,4,3,3,4,4,4,5,3,4,5,4,5,4,3,3,3,4,4,3,2,3,3,3,5,3,3,41,"Woman","Yes","Asian or Asian American","No","Professional Degree (J.D., M.D., etc.)","Prefer not to say"
"76",76,2,2,3,3,5,4,2,2,4,5,2,4,1,2,4,3,2,3,2,2,5,3,5,5,3,3,4,5,5,4,4,5,5,2,2,3,4,4,2,2,2,2,5,4,4,4,24,"Woman","Yes","White","No","Bachelor’s Degree","No"
"77",77,5,5,5,5,4,5,4,5,3,5,1,5,1,5,5,4,5,5,4,4,5,4,3,4,1,1,5,2,5,4,3,3,4,2,1,2,4,4,2,1,1,1,4,5,2,5,48,"Man","Yes","White","No","Bachelor’s Degree","Yes"
"78",78,4,5,5,2,5,1,3,3,5,4,2,4,1,2,5,3,1,4,4,1,5,4,4,5,5,4,5,3,5,4,2,5,4,1,4,4,1,3,1,4,3,4,5,4,5,2,33,"Woman","Yes","White",NA,"Bachelor’s Degree","No"
"79",79,5,5,5,5,5,5,5,5,5,3,2,3,1,5,5,4,2,5,4,4,4,4,5,4,5,4,4,5,3,4,4,5,3,4,1,1,4,4,3,2,3,1,3,5,3,5,30,"Non-Binary, Agender, or Other","No","White","No","Bachelor’s Degree","No"
"80",80,5,5,3,3,1,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,1,1,1,3,5,4,5,26,"Man","Yes","White","No","High School","No"
"81",81,3,5,5,5,2,5,3,1,5,3,4,3,1,2,5,3,3,2,5,3,5,3,3,4,5,5,3,3,4,4,3,3,4,1,4,3,2,3,2,2,2,3,4,4,4,3,30,"Woman","Yes","Multiracial","No","Master’s Degree","No"
"82",82,4,5,4,4,4,4,4,2,4,4,4,4,1,1,4,2,2,1,4,4,4,4,4,5,5,2,4,4,2,4,4,1,5,2,4,4,1,4,1,4,1,4,5,4,4,3,24,"Woman","Yes","Asian or Asian American","No","Bachelor’s Degree","No"
"83",83,2,4,4,4,4,5,4,4,4,4,4,4,1,4,3,3,2,3,4,4,4,4,5,3,3,3,3,4,4,5,4,4,4,3,3,3,1,3,3,3,3,2,4,3,4,4,34,"Man","Yes","Black or African American","No","High School","No"
"84",84,4,5,4,3,4,3,3,2,4,4,3,3,1,2,3,3,2,2,3,3,4,2,3,4,3,2,5,2,3,2,4,2,4,1,5,4,1,3,1,4,2,3,4,2,3,3,35,"Woman","Yes","White","No","High School","No"
"85",85,5,5,5,5,5,5,5,5,5,5,3,NA,1,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,3,3,3,1,3,5,3,1,1,3,3,5,4,5,32,"Woman","Yes","Latine or Hispanic","Yes","High School","No"
"86",86,5,5,5,5,5,5,5,5,5,5,1,5,1,2,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,3,1,1,4,5,4,1,3,1,4,4,2,5,26,"Non-Binary, Agender, or Other","Yes","Other or Prefer not to say","No","Prefer not to say","No"
"87",87,5,5,5,5,5,5,5,5,5,5,1,4,1,4,5,4,3,3,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,3,2,2,3,5,3,2,2,2,3,5,4,4,28,"Woman","Yes","White","No","Associate’s Degree","No"
"88",88,5,5,5,5,5,5,5,5,5,3,1,4,1,4,5,5,5,4,4,4,5,5,5,5,3,4,4,5,3,4,5,4,2,4,1,1,4,4,3,4,4,1,3,4,5,3,22,"Woman","Yes","White","No","Bachelor’s Degree","No"
"89",89,3,5,5,5,5,3,3,3,5,4,3,5,1,3,5,2,3,3,3,3,4,3,4,4,4,3,3,5,5,3,4,4,3,1,3,3,1,3,3,3,3,1,4,3,3,5,52,"Woman","Yes","White","No","Other option not represented here","No"
"90",90,4,5,5,5,5,5,4,4,4,5,3,4,1,5,5,2,5,5,5,5,5,5,3,5,2,1,5,4,5,5,4,4,5,4,2,1,4,4,3,3,4,1,2,5,3,4,25,"Man","Yes","Other or Prefer not to say","No","Associate’s Degree","No"
"91",91,4,5,5,5,5,5,5,4,5,5,1,4,1,4,4,3,1,4,4,5,5,3,5,4,5,4,4,3,5,5,5,5,5,1,3,3,1,5,1,2,3,3,4,4,2,4,75,"Woman","Yes","White","No","Bachelor’s Degree","No"
"92",92,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,4,4,5,3,2,1,4,5,4,2,2,2,3,5,4,4,31,"Man","Yes","White","No","High School","No"
"93",93,3,4,4,4,4,3,3,2,4,4,4,5,1,4,3,3,3,3,2,2,4,3,2,5,4,3,4,3,4,4,4,4,4,2,3,3,3,3,1,4,4,2,4,4,4,4,35,"Man","Yes","White","No","Master’s Degree","No"
"94",94,4,5,5,5,5,5,5,4,5,5,1,5,1,4,5,5,4,3,4,3,5,4,5,4,5,4,5,5,5,4,5,5,5,3,2,2,4,5,4,2,2,1,4,4,4,5,31,"Woman","Yes","White","No","Master’s Degree","No"
"95",95,3,5,4,5,5,4,3,3,5,5,2,4,1,3,4,3,2,3,2,3,4,3,3,4,4,3,4,4,4,5,4,4,5,1,3,2,2,4,1,4,4,3,5,4,1,4,37,"Woman","Yes","White","No","Bachelor’s Degree","No"
"96",96,4,5,2,1,5,4,2,1,3,4,2,3,1,2,4,2,2,5,4,4,5,2,3,4,3,4,5,4,2,4,4,3,5,3,2,3,4,4,2,5,5,2,2,5,4,5,28,"Man","Yes","Asian or Asian American","No","Bachelor’s Degree","No"
"97",97,5,5,4,5,5,5,5,4,4,5,4,4,1,4,5,5,5,4,4,4,4,5,5,5,5,4,5,5,4,5,4,5,5,2,1,1,2,5,3,1,1,1,2,5,5,4,33,"Woman","Yes","White","No","Bachelor’s Degree","Yes"
"98",98,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,26,"Man","Yes","White","No","Bachelor’s Degree","No"
"99",99,5,5,5,5,5,5,5,5,5,5,1,5,1,1,5,5,4,4,5,5,5,5,5,5,5,5,NA,5,4,5,5,5,5,4,2,1,5,5,4,2,2,1,NA,5,5,4,36,"Man","Yes","White","No","Bachelor’s Degree","No"
"100",100,4,4,4,2,5,5,4,5,4,4,3,4,1,1,5,2,4,NA,3,4,4,4,5,4,NA,3,4,4,4,5,5,4,3,2,3,4,2,3,1,3,4,3,5,2,4,3,44,"Man","Yes","White","No","Associate’s Degree","No"
"101",101,2,4,3,4,5,4,2,3,5,3,4,3,1,4,5,3,3,4,4,5,5,3,3,4,1,2,4,4,5,4,1,3,4,2,2,3,3,5,2,3,3,2,3,4,4,3,20,"Woman","Yes","White",NA,"High School","No"
"102",102,4,5,4,2,1,2,2,4,4,4,2,4,1,2,1,2,4,2,4,1,4,2,4,5,3,4,4,4,4,4,4,2,4,2,2,4,4,4,2,5,4,4,3,2,2,4,30,"Man","Yes","White","No","Bachelor’s Degree","No"
"103",103,5,5,5,5,5,5,5,5,5,4,4,5,1,5,5,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,3,4,3,4,5,1,2,1,1,4,5,2,5,30,"Man","Yes","White","No","Professional Degree (J.D., M.D., etc.)","No"
"104",104,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,4,5,4,5,5,5,5,4,2,5,5,5,4,5,5,5,4,2,1,4,5,4,1,2,1,4,4,5,5,25,"Woman","Yes","White","No","High School","No"
"105",105,2,4,2,4,5,3,1,1,4,4,2,4,1,2,5,4,2,2,1,1,4,1,3,5,4,2,2,3,4,4,3,4,4,1,4,5,1,1,1,2,4,4,5,5,3,4,52,"Woman","Yes","White","No","Bachelor’s Degree","No"
"106",106,2,5,5,5,5,1,2,1,5,5,2,4,1,3,4,1,1,4,1,2,5,2,3,4,4,3,5,4,4,5,5,5,5,4,1,3,2,4,2,4,4,1,4,5,4,5,57,"Man","Yes","White","No","Associate’s Degree","No"
"107",107,5,5,5,5,5,5,5,5,5,5,3,5,1,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,3,5,5,3,3,5,3,3,3,5,1,5,5,3,5,42,"Man","Yes","White","No","Associate’s Degree","No"
"108",108,4,4,5,5,5,4,4,4,5,4,3,4,1,4,3,3,2,3,5,4,5,4,5,5,4,3,5,4,4,4,4,4,4,2,1,2,5,4,3,4,4,4,5,5,5,4,30,"Woman","Yes","White","No","Bachelor’s Degree","No"
