"","qid","qname","question","force_resp","scale"
"28","QID28","q26","Some ways of using drugs are safer than others.
",FALSE,NA
"29","QID29","q27","People who use drugs deserve to live good lives.
",FALSE,NA
"30","QID30","q28","Reducing drug use is a reasonable goal for people who use drugs.
",FALSE,NA
"31","QID31","q29","Some people who use drugs cannot be expected to quit immediately.
",FALSE,NA
"32","QID32","q30","People who use drugs should be involved in creating the programs and policies that serve them.
",FALSE,NA
"33","QID33","q31","People in recovery from drug use should be involved in creating the programs and policies that serve them.
",FALSE,NA
"34","QID34","q32","Relapse may be a part of the recovery process.
",FALSE,NA
"35","QID35","q33","It is possible to live a healthy life without stopping drug use.
",FALSE,"Scale 2"
"36","QID36","q34","People who use drugs should be forced into treatment.
",FALSE,"Scale 2"
"37","QID37","q35","Using drugs is immoral.
",FALSE,"Scale 2"
"38","QID38","q36","Drug use has benefits.
",FALSE,"Scale 2"
"39","QID39","q37","Harm reduction complements traditional addiction prevention, treatment, and recovery services.
",FALSE,NA
"40","QID40","q38","People who use drugs benefit society.
",FALSE,"Scale 2"
"41","QID41","q39","Reducing the negative consequences of drug use encourages more people to use drugs.
",FALSE,"Scale 1"
"42","QID42","q40","People will use more drugs if it is safer.
",FALSE,NA
"43","QID43","q41","People who use drugs will naturally end up homeless.
",FALSE,"Scale 2"
"44","QID44","q42","Drugs make the world worse.
",FALSE,"Scale 2"
"45","QID45","q43","Drug use will always be part of society.
",FALSE,NA
"46","QID46","q44","Chaotic drug use is a rational response to experiences like trauma, homelessness, hunger, and poverty.
",FALSE,NA
"47","QID47","q45","People who use drugs should be able to use medications used to treat addiction (buprenorphine, naltrexone, or methadone) for any length of time.
",FALSE,NA
"48","QID54","age","What is your current age?<br>",FALSE,NA
"49","QID48","gid1","What is your gender identity?
",FALSE,NA
"50","QID49","gid2","Does your gender identity match your sex assigned at birth?",FALSE,NA
"51","QID50","race-eth-id","Please select the terms that best represent your racial and ethnic identity.
",FALSE,NA
"52","QID51","race-eth-choice","Research requires us to categorize people in racial and ethnic terms. You may use the box below to self-describe how you would prefer to be categorized.<br>",FALSE,NA
"53","QID52","ed","Please select your highest level of education
",FALSE,NA
"54","QID53","sud_hx","Have you ever been diagnosed with a substance use disorder?",FALSE,NA
